equipment_id,location_id,equipment_type,collected_at,day_index,hour,traffic_load,temperature_c,voltage_v,signal_strength_dbm,success_rate,response_time_ms,retry_count,disconnect_count,packet_loss_rate,error_count,days_since_maintenance,risk_score,risk_level,failure_event,maintenance_event,failure_within_7d,rul_hours
ANT-001,TG-01,hipass_antenna,2026-01-01 11:00:00,0,11,0.372,32.32,12.39,84.15,99.58,42.76,0,0,0.111,2,15,0.12,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 12:00:00,0,12,0.284,31.45,12.26,83.78,99.34,46.34,1,0,0.111,2,15,4.42,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 13:00:00,0,13,0.283,30.25,12.3,84.83,99.79,40.26,0,0,0.178,0,15,3.62,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 14:00:00,0,14,0.277,31.01,12.33,86.1,99.43,41.69,2,0,0.129,0,15,8.94,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 15:00:00,0,15,0.359,30.56,12.29,84.38,99.33,48.78,0,0,0.121,0,15,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 16:00:00,0,16,0.477,29.77,12.37,85.22,99.49,38.03,1,0,0.212,0,15,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 17:00:00,0,17,0.57,29.69,12.31,85.6,98.89,45.55,1,0,0.138,0,15,9.88,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 18:00:00,0,18,0.542,27.43,12.36,82.99,98.8,39.88,1,0,0.235,0,15,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 19:00:00,0,19,0.529,26.24,12.35,84.58,99.22,38.07,2,0,0.246,1,15,6.51,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 20:00:00,0,20,0.447,26.55,12.33,83.72,98.64,45.66,0,1,0.174,0,15,3.11,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 21:00:00,0,21,0.374,25.43,12.38,85.75,98.93,38.76,1,0,0.206,0,15,4.35,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 22:00:00,0,22,0.319,23.88,12.33,85.42,99.03,35.86,1,0,0.199,2,15,3.03,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 23:00:00,0,23,0.249,23.47,12.36,83.29,98.78,39.08,1,0,0.219,0,15,3.05,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 00:00:00,1,0,0.214,22.96,12.36,82.73,99.58,42.5,0,0,0.179,0,16,4.19,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 01:00:00,1,1,0.272,23.93,12.33,82.0,98.93,40.79,2,0,0.164,0,16,4.39,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 02:00:00,1,2,0.264,24.57,12.29,83.76,99.51,36.23,1,0,0.245,0,16,2.96,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 03:00:00,1,3,0.297,25.86,12.29,84.58,99.33,45.77,0,0,0.108,0,16,1.2,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 04:00:00,1,4,0.329,26.32,12.35,84.43,99.29,41.02,1,0,0.125,0,16,4.88,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 05:00:00,1,5,0.425,27.53,12.31,83.94,99.19,44.58,0,0,0.168,0,16,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 06:00:00,1,6,0.515,28.76,12.34,84.01,99.12,42.54,1,0,0.284,0,16,0.3,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 07:00:00,1,7,0.559,29.47,12.27,85.56,99.08,44.19,0,0,0.095,0,16,3.57,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 08:00:00,1,8,0.621,30.96,12.38,84.17,99.57,45.36,0,0,0.027,0,16,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 09:00:00,1,9,0.6,31.67,12.34,86.03,99.43,44.4,0,0,0.232,0,16,5.23,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 10:00:00,1,10,0.523,30.81,12.29,83.5,99.49,39.32,0,0,0.179,0,16,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 11:00:00,1,11,0.384,30.98,12.32,84.76,99.2,44.71,1,0,0.146,0,16,1.6,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 12:00:00,1,12,0.342,31.77,12.27,83.5,99.41,42.47,0,0,0.068,1,16,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 13:00:00,1,13,0.276,31.8,12.3,84.97,99.06,43.07,0,0,0.301,0,16,3.09,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 14:00:00,1,14,0.3,31.74,12.24,83.53,99.34,45.26,0,0,0.193,0,16,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 15:00:00,1,15,0.367,30.3,12.37,83.69,99.45,43.68,0,0,0.154,2,16,3.43,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 16:00:00,1,16,0.416,29.35,12.28,84.48,99.11,44.25,0,0,0.003,1,16,0.76,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 17:00:00,1,17,0.566,29.99,12.3,85.99,99.77,38.25,0,0,0.031,0,16,1.1,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 18:00:00,1,18,0.574,29.46,12.33,83.86,99.75,46.11,0,0,0.029,0,16,0.44,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 19:00:00,1,19,0.511,26.05,12.31,83.43,99.27,39.69,0,0,0.115,0,16,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 20:00:00,1,20,0.462,26.85,12.26,84.41,98.95,42.38,0,1,0.229,0,16,0.77,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 21:00:00,1,21,0.377,25.3,12.38,81.86,99.11,45.25,0,1,0.246,2,16,12.68,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 22:00:00,1,22,0.29,24.94,12.3,86.52,99.26,40.71,1,0,0.078,1,16,3.72,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-02 23:00:00,1,23,0.233,23.87,12.36,86.06,99.27,41.07,0,0,0.153,1,16,0.08,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 00:00:00,2,0,0.208,25.08,12.28,83.57,99.31,40.41,1,1,0.165,1,17,7.78,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 01:00:00,2,1,0.208,23.48,12.29,85.65,99.18,42.2,0,0,0.138,1,17,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 02:00:00,2,2,0.172,23.04,12.31,84.91,99.38,40.41,0,0,0.027,0,17,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 03:00:00,2,3,0.201,24.45,12.3,84.41,99.19,41.85,1,0,0.356,0,17,3.01,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 04:00:00,2,4,0.206,25.32,12.3,86.12,99.57,41.73,0,0,0.203,0,17,0.21,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 05:00:00,2,5,0.269,27.9,12.27,85.3,99.45,40.92,0,0,0.22,0,17,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 06:00:00,2,6,0.34,27.03,12.32,82.73,99.29,42.34,0,0,0.173,0,17,0.84,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 07:00:00,2,7,0.409,27.8,12.35,85.2,99.29,44.34,0,0,0.204,0,17,0.81,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 08:00:00,2,8,0.468,30.76,12.35,83.99,99.44,43.39,0,0,0.22,0,17,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 09:00:00,2,9,0.442,31.12,12.3,84.05,99.2,43.96,1,0,0.113,0,17,1.68,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 10:00:00,2,10,0.351,30.74,12.33,84.39,99.22,40.51,0,0,0.231,0,17,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 11:00:00,2,11,0.29,31.1,12.31,85.59,99.31,38.0,0,0,0.202,0,17,3.9,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 12:00:00,2,12,0.222,31.86,12.25,83.04,98.13,44.0,0,2,0.436,0,17,10.8,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 13:00:00,2,13,0.229,31.44,12.36,83.12,99.44,40.36,0,0,0.17,0,17,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 14:00:00,2,14,0.24,31.83,12.33,85.62,99.29,38.74,0,0,0.106,0,17,5.43,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 15:00:00,2,15,0.269,30.28,12.27,85.55,99.7,45.34,0,0,0.062,0,17,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 16:00:00,2,16,0.333,29.67,12.33,83.53,99.08,44.07,2,0,0.263,1,17,4.47,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 17:00:00,2,17,0.371,29.21,12.32,84.02,98.89,42.85,1,0,0.191,0,17,0.6,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 18:00:00,2,18,0.436,27.43,12.31,83.32,99.54,39.1,0,0,0.11,1,17,0.15,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 19:00:00,2,19,0.409,27.01,12.31,85.15,98.84,38.38,2,0,0.314,0,17,4.29,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 20:00:00,2,20,0.334,27.84,12.34,85.19,99.02,43.32,0,0,0.123,0,17,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 21:00:00,2,21,0.262,24.21,12.33,82.21,99.12,38.17,0,0,0.063,0,17,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 22:00:00,2,22,0.227,24.34,12.24,83.93,99.05,47.49,1,0,0.163,0,17,0.7,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-03 23:00:00,2,23,0.198,24.15,12.34,85.4,99.6,36.72,0,0,0.203,0,17,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 00:00:00,3,0,0.154,24.83,12.31,81.98,99.41,35.35,0,0,0.249,1,18,0.38,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 01:00:00,3,1,0.176,24.35,12.33,83.54,99.54,40.93,0,0,0.142,0,18,2.73,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 02:00:00,3,2,0.214,23.69,12.3,82.88,99.46,44.49,0,0,0.204,2,18,0.57,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 03:00:00,3,3,0.186,25.51,12.3,83.08,99.48,39.79,0,0,0.137,0,18,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 04:00:00,3,4,0.248,25.89,12.34,84.71,99.47,38.41,0,0,0.114,0,18,1.92,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 05:00:00,3,5,0.268,27.2,12.31,85.79,99.65,41.78,0,0,0.129,0,18,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 06:00:00,3,6,0.379,27.68,12.31,84.55,99.83,38.04,1,0,0.221,0,18,2.18,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 07:00:00,3,7,0.408,30.85,12.36,83.33,99.37,45.36,0,0,0.058,0,18,2.29,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 08:00:00,3,8,0.468,30.01,12.33,85.63,99.53,44.1,0,0,0,0,18,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 09:00:00,3,9,0.434,32.38,12.31,83.33,99.19,38.84,0,0,0.099,0,18,2.42,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 10:00:00,3,10,0.332,31.22,12.31,86.88,99.44,45.4,0,0,0.188,0,18,0.03,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 11:00:00,3,11,0.26,32.49,12.3,83.13,99.15,43.59,2,0,0.207,0,18,5.38,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 12:00:00,3,12,0.236,33.97,12.26,83.87,99.47,43.33,0,0,0.111,0,18,2.02,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 13:00:00,3,13,0.225,33.21,12.39,86.37,99.49,39.52,0,0,0,0,18,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 14:00:00,3,14,0.244,32.27,12.34,84.89,98.99,41.01,1,0,0.269,1,18,3.13,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 15:00:00,3,15,0.278,31.21,12.32,83.36,99.79,40.38,0,0,0.173,0,18,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 16:00:00,3,16,0.315,30.44,12.3,81.46,99.18,42.99,0,0,0.121,0,18,1.13,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 17:00:00,3,17,0.391,29.66,12.3,84.16,98.99,45.83,1,0,0.231,0,18,0.27,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 18:00:00,3,18,0.417,27.75,12.26,84.42,99.41,41.1,0,0,0.042,0,18,3.57,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 19:00:00,3,19,0.358,26.99,12.35,83.04,98.89,44.08,3,0,0.272,0,18,4.32,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 20:00:00,3,20,0.303,27.29,12.27,82.97,99.04,43.36,0,1,0.444,1,18,7.89,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 21:00:00,3,21,0.259,25.81,12.35,84.43,99.25,40.89,1,0,0.188,1,18,4.67,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 22:00:00,3,22,0.199,24.86,12.27,86.75,99.52,39.39,0,0,0.047,1,18,4.86,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-04 23:00:00,3,23,0.167,23.94,12.39,85.14,99.25,40.88,0,0,0.018,0,18,2.72,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 00:00:00,4,0,0.256,22.79,12.32,83.93,99.24,36.21,1,0,0.118,0,19,5.07,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 01:00:00,4,1,0.231,24.54,12.33,85.89,99.06,42.04,0,0,0.104,0,19,3.8,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 02:00:00,4,2,0.295,24.88,12.27,84.65,98.83,41.24,0,0,0.22,1,19,0.92,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 03:00:00,4,3,0.279,24.25,12.33,83.53,98.79,41.81,0,0,0.189,0,19,1.58,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 04:00:00,4,4,0.298,26.14,12.3,84.88,99.68,34.27,0,0,0.01,1,19,0.88,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 05:00:00,4,5,0.42,26.27,12.36,84.63,99.86,41.67,1,0,0.051,0,19,0.06,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 06:00:00,4,6,0.504,28.8,12.32,84.89,99.5,42.3,0,0,0.038,0,19,2.91,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 07:00:00,4,7,0.56,29.05,12.39,84.29,99.63,37.04,1,0,0,3,19,1.87,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 08:00:00,4,8,0.592,32.11,12.33,83.33,98.95,48.19,2,0,0.252,0,19,4.17,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 09:00:00,4,9,0.578,31.95,12.32,83.17,99.18,41.64,1,0,0.14,0,19,5.71,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 10:00:00,4,10,0.465,31.57,12.33,83.42,99.66,44.45,0,0,0.09,0,19,1.9,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 11:00:00,4,11,0.414,33.22,12.28,86.33,99.06,40.47,1,0,0.092,1,19,1.89,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 12:00:00,4,12,0.285,31.84,12.31,84.17,99.35,40.95,0,0,0.183,0,19,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 13:00:00,4,13,0.279,31.88,12.34,85.27,99.68,40.86,0,0,0.201,0,19,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 14:00:00,4,14,0.298,31.69,12.24,83.63,98.94,42.76,0,1,0.149,0,19,1.36,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 15:00:00,4,15,0.365,31.04,12.3,84.08,99.03,42.69,2,1,0.408,0,19,7.53,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 16:00:00,4,16,0.454,30.98,12.3,83.67,99.53,44.13,0,0,0.062,1,19,2.13,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 17:00:00,4,17,0.543,30.26,12.34,85.48,99.67,45.69,1,0,0.184,0,19,2.14,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 18:00:00,4,18,0.561,29.71,12.33,82.57,99.41,47.34,0,0,0.198,0,19,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 19:00:00,4,19,0.515,27.57,12.22,83.96,99.59,45.39,0,0,0,0,19,0.37,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 20:00:00,4,20,0.451,27.7,12.34,82.39,99.34,43.89,0,0,0.208,0,19,0.88,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 21:00:00,4,21,0.351,26.32,12.38,82.45,99.27,43.39,2,0,0.396,1,19,4.64,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 22:00:00,4,22,0.314,24.44,12.24,83.78,99.91,45.27,1,0,0.172,0,19,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-05 23:00:00,4,23,0.261,24.63,12.37,86.9,99.36,33.81,0,0,0.004,0,19,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 00:00:00,5,0,0.261,25.64,12.29,83.05,99.42,42.07,1,0,0.077,0,20,5.17,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 01:00:00,5,1,0.291,23.96,12.39,85.47,99.58,39.68,1,0,0.183,0,20,2.04,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 02:00:00,5,2,0.286,26.72,12.28,85.07,99.67,43.6,0,0,0.097,1,20,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 03:00:00,5,3,0.307,26.1,12.38,86.98,99.63,46.54,0,0,0.045,0,20,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 04:00:00,5,4,0.332,26.38,12.3,84.43,99.53,42.67,0,0,0,0,20,3.23,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 05:00:00,5,5,0.429,27.69,12.33,84.42,99.18,44.62,1,0,0.171,0,20,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 06:00:00,5,6,0.517,30.71,12.34,84.01,99.65,39.03,0,0,0.162,0,20,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 07:00:00,5,7,0.625,29.11,12.27,84.45,99.2,45.69,0,0,0.023,0,20,8.43,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 08:00:00,5,8,0.613,31.92,12.32,84.26,99.86,48.67,0,0,0.097,0,20,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 09:00:00,5,9,0.551,31.92,12.38,83.47,99.62,41.17,0,0,0.019,1,20,3.59,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 10:00:00,5,10,0.517,33.21,12.3,83.89,99.2,47.92,0,0,0.151,2,20,0.61,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 11:00:00,5,11,0.423,32.43,12.39,84.74,99.11,42.74,1,0,0.226,0,20,2.23,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 12:00:00,5,12,0.29,32.94,12.31,81.43,98.85,46.66,0,0,0.043,0,20,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 13:00:00,5,13,0.26,32.87,12.37,84.67,99.45,41.43,0,0,0.077,0,20,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 14:00:00,5,14,0.35,32.05,12.33,83.81,98.9,43.5,1,0,0.211,0,20,3.33,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 15:00:00,5,15,0.361,32.5,12.32,82.22,98.75,41.86,2,1,0.468,2,20,11.94,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 16:00:00,5,16,0.466,30.39,12.3,84.94,99.25,40.42,1,0,0.268,0,20,1.04,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 17:00:00,5,17,0.531,29.74,12.32,85.07,99.25,45.44,0,0,0.045,0,20,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 18:00:00,5,18,0.593,28.15,12.36,85.76,99.19,48.27,1,0,0.209,0,20,0.43,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 19:00:00,5,19,0.53,27.74,12.34,83.84,99.1,43.9,0,0,0.195,0,20,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 20:00:00,5,20,0.447,26.29,12.27,85.01,99.06,42.64,0,1,0.324,2,20,8.19,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 21:00:00,5,21,0.35,25.3,12.29,84.6,99.47,37.63,0,0,0,0,20,3.01,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 22:00:00,5,22,0.303,24.97,12.25,83.26,99.06,40.26,0,0,0,0,20,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-06 23:00:00,5,23,0.294,25.01,12.38,84.08,98.63,41.0,0,0,0.092,0,20,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 00:00:00,6,0,0.252,25.98,12.32,85.16,99.35,38.15,0,0,0.061,0,21,0.17,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 01:00:00,6,1,0.271,24.88,12.32,83.88,99.88,45.58,0,0,0.146,0,21,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 02:00:00,6,2,0.253,25.31,12.37,82.89,99.38,35.95,0,0,0.07,0,21,3.43,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 03:00:00,6,3,0.304,26.06,12.34,83.91,99.59,37.79,0,0,0.153,0,21,0.97,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 04:00:00,6,4,0.306,26.77,12.3,84.21,99.53,40.8,0,0,0.052,1,21,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 05:00:00,6,5,0.405,27.77,12.29,84.94,99.26,44.17,1,0,0.076,0,21,1.47,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 06:00:00,6,6,0.507,28.94,12.28,84.83,99.27,42.93,1,0,0.119,1,21,0.13,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 07:00:00,6,7,0.625,29.29,12.31,86.78,99.47,44.67,1,0,0.272,1,21,0.32,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 08:00:00,6,8,0.623,31.41,12.28,82.82,99.15,46.17,1,0,0.097,0,21,2.02,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 09:00:00,6,9,0.607,31.45,12.3,85.71,99.77,46.15,0,0,0.072,0,21,0.19,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 10:00:00,6,10,0.468,31.64,12.4,83.73,99.79,42.03,0,0,0.012,0,21,1.7,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 11:00:00,6,11,0.353,32.19,12.29,83.8,99.32,40.87,0,0,0.09,0,21,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 12:00:00,6,12,0.294,33.49,12.36,82.4,99.29,43.05,1,0,0.021,1,21,3.73,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 13:00:00,6,13,0.267,34.07,12.34,83.58,99.35,41.15,0,1,0.306,0,21,5.4,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 14:00:00,6,14,0.325,32.12,12.28,82.35,99.09,39.7,0,0,0.088,0,21,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-07 15:00:00,6,15,0.355,31.78,12.34,83.62,99.43,43.88,0,0,0.179,0,21,0.36,정상,0,0,0,
