gate_id,location_id,collected_at,motor_temperature_c,motor_current_a,voltage_v,open_close_time_sec,vibration_mm_s,operation_count,error_count,days_since_maintenance,risk_score,risk_level,maintenance_event,failure_event
GATE-01,PARKING-01,2026-01-02 16:00:00,34,3.42,24.3,2.28,0.72,32119,0,38,2.11,정상,0,0
GATE-01,PARKING-01,2026-01-02 17:00:00,41.81,4.15,24.18,2.44,0.51,32165,1,38,5.87,정상,0,0
GATE-01,PARKING-01,2026-01-02 18:00:00,38.93,4.64,24.49,2.12,0.7,32208,0,38,0.4,정상,0,0
GATE-01,PARKING-01,2026-01-02 19:00:00,38.5,4.34,24.23,2.21,0.94,32249,0,38,2.42,정상,0,0
GATE-01,PARKING-01,2026-01-02 20:00:00,38.41,4.08,23.8,2.44,0.47,32286,0,38,2.1,정상,0,0
GATE-01,PARKING-01,2026-01-02 21:00:00,39.38,4,24.64,2.58,0.89,32309,0,38,2.21,정상,0,0
GATE-01,PARKING-01,2026-01-02 22:00:00,33.79,3.69,24.3,2.35,0.63,32329,0,38,2.88,정상,0,0
GATE-01,PARKING-01,2026-01-02 23:00:00,34.05,3.5,23.73,2.79,0.44,32347,1,38,9.55,정상,0,0
GATE-01,PARKING-01,2026-01-03 00:00:00,35.98,3.8,23.81,2.4,0.54,32353,0,39,0,정상,0,0
GATE-01,PARKING-01,2026-01-03 01:00:00,33.74,3.5,24.03,2.56,0.64,32353,0,39,0,정상,0,0
GATE-01,PARKING-01,2026-01-03 02:00:00,36.94,3.09,24.39,2.58,0.56,32360,0,39,4.61,정상,0,0
GATE-01,PARKING-01,2026-01-03 03:00:00,37.2,3.03,23.89,2.24,0.92,32368,0,39,3.1,정상,0,0
GATE-01,PARKING-01,2026-01-03 04:00:00,35.04,3.52,24.03,2.54,0.59,32380,0,39,2.89,정상,0,0
GATE-01,PARKING-01,2026-01-03 05:00:00,35.74,2.6,23.78,2.47,0.58,32381,0,39,1.26,정상,0,0
GATE-01,PARKING-01,2026-01-03 06:00:00,37.65,3.3,24.14,2,0.71,32405,1,39,7.67,정상,0,0
GATE-01,PARKING-01,2026-01-03 07:00:00,36.01,4.09,24,2.29,0.93,32455,0,39,0,정상,0,0
GATE-01,PARKING-01,2026-01-03 08:00:00,37.98,3.79,24.29,2.32,0.87,32499,0,39,3.27,정상,0,0
GATE-01,PARKING-01,2026-01-03 09:00:00,39.88,4.2,24.1,2.49,0.7,32550,0,39,0.3,정상,0,0
GATE-01,PARKING-01,2026-01-03 10:00:00,38.35,3.8,23.92,2.35,0.61,32574,0,39,2.21,정상,0,0
GATE-01,PARKING-01,2026-01-03 11:00:00,36.4,3.74,24.1,2.31,0.51,32599,0,39,1.72,정상,0,0
GATE-01,PARKING-01,2026-01-03 12:00:00,36.45,3.43,24.47,2.32,0.74,32614,1,39,4.49,정상,0,0
GATE-01,PARKING-01,2026-01-03 13:00:00,37.1,3.46,24.27,2.62,0.85,32636,0,39,2.8,정상,0,0
GATE-01,PARKING-01,2026-01-03 14:00:00,35.4,3.71,24.23,2.37,0.89,32661,1,39,7.1,정상,0,0
GATE-01,PARKING-01,2026-01-03 15:00:00,38.2,3.52,24.27,2.35,0.46,32682,1,39,7.98,정상,0,0
GATE-01,PARKING-01,2026-01-03 16:00:00,38.92,3.79,24.32,2.28,0.8,32704,0,39,3.81,정상,0,0
GATE-01,PARKING-01,2026-01-03 17:00:00,38.74,4.43,24.35,2.3,0.73,32745,0,39,3.1,정상,0,0
GATE-01,PARKING-01,2026-01-03 18:00:00,37.71,3.97,24.02,2.22,0.88,32797,0,39,0,정상,0,0
GATE-01,PARKING-01,2026-01-03 19:00:00,39.23,4.46,24.49,2.51,0.24,32845,0,39,2.72,정상,0,0
GATE-01,PARKING-01,2026-01-03 20:00:00,38.11,3.13,24.07,2.58,0.61,32876,0,39,0,정상,0,0
GATE-01,PARKING-01,2026-01-03 21:00:00,38.07,3.42,23.94,2.49,0.4,32890,0,39,1.45,정상,0,0
GATE-01,PARKING-01,2026-01-03 22:00:00,37.34,3.52,23.99,2.39,0.77,32914,1,39,5.72,정상,0,0
GATE-01,PARKING-01,2026-01-03 23:00:00,36.5,3.54,24.02,2.17,0.61,32931,0,39,1.02,정상,0,0
GATE-01,PARKING-01,2026-01-04 00:00:00,32.49,3.1,24.07,2.4,0.82,32933,0,40,2.63,정상,0,0
GATE-01,PARKING-01,2026-01-04 01:00:00,36.11,3.34,24.1,2.63,0.69,32944,0,40,0.79,정상,0,0
GATE-01,PARKING-01,2026-01-04 02:00:00,33.46,3.53,24.38,1.99,0.66,32949,0,40,1.43,정상,0,0
GATE-01,PARKING-01,2026-01-04 03:00:00,34.15,4,24.1,2.42,0.66,32964,1,40,5.01,정상,0,0
GATE-01,PARKING-01,2026-01-04 04:00:00,34.94,3.4,23.97,2.56,0.64,32974,0,40,0,정상,0,0
GATE-01,PARKING-01,2026-01-04 05:00:00,35.65,3.18,23.98,2.42,0.49,32980,0,40,0.91,정상,0,0
GATE-01,PARKING-01,2026-01-04 06:00:00,34.99,3.67,23.96,2.38,0.76,32998,0,40,2.78,정상,0,0
GATE-01,PARKING-01,2026-01-04 07:00:00,37.76,3.64,23.86,2.37,0.81,33031,0,40,3.83,정상,0,0
GATE-01,PARKING-01,2026-01-04 08:00:00,39.43,3.98,24.32,2.57,0.5,33081,0,40,1.69,정상,0,0
GATE-01,PARKING-01,2026-01-04 09:00:00,41.41,3.82,24.22,2.33,0.93,33140,1,40,6.57,정상,0,0
GATE-01,PARKING-01,2026-01-04 10:00:00,37.58,3.28,24.02,2.68,1,33167,0,40,0,정상,0,0
GATE-01,PARKING-01,2026-01-04 11:00:00,39.09,3.33,23.61,2.21,0.97,33181,1,40,4.87,정상,0,0
GATE-01,PARKING-01,2026-01-04 12:00:00,34.4,3.33,24.18,2.16,0.89,33201,0,40,0.19,정상,0,0
GATE-01,PARKING-01,2026-01-04 13:00:00,37.59,3.68,24.72,2.38,0.81,33227,0,40,1.89,정상,0,0
GATE-01,PARKING-01,2026-01-04 14:00:00,37.72,3.54,23.72,2.45,0.69,33259,0,40,0,정상,0,0
GATE-01,PARKING-01,2026-01-04 15:00:00,36.06,3.69,23.8,2.23,0.44,33272,0,40,2.01,정상,0,0
GATE-01,PARKING-01,2026-01-04 16:00:00,35.14,3.32,23.98,2.29,0.46,33290,1,40,7.23,정상,0,0
GATE-01,PARKING-01,2026-01-04 17:00:00,38.65,4.19,23.71,2.56,0.62,33332,1,40,8.8,정상,0,0
GATE-01,PARKING-01,2026-01-04 18:00:00,38.39,3.89,24.65,2.45,0.75,33369,0,40,1.46,정상,0,0
GATE-01,PARKING-01,2026-01-04 19:00:00,37.94,3.31,24.32,2.42,0.82,33417,0,40,0.85,정상,0,0
GATE-01,PARKING-01,2026-01-04 20:00:00,37.88,3.17,24.23,2.67,0.58,33448,0,40,5.53,정상,0,0
GATE-01,PARKING-01,2026-01-04 21:00:00,35.54,3.55,24.23,2.43,0.39,33472,0,40,1.07,정상,0,0
GATE-01,PARKING-01,2026-01-04 22:00:00,34.72,3.82,23.99,2.32,0.77,33490,0,40,0,정상,0,0
GATE-01,PARKING-01,2026-01-04 23:00:00,38.35,3.4,24.54,2.26,0.59,33514,0,40,4.4,정상,0,0
GATE-01,PARKING-01,2026-01-05 00:00:00,35.6,2.98,23.86,2.1,0.89,33515,0,41,1.6,정상,0,0
GATE-01,PARKING-01,2026-01-05 01:00:00,34.3,3.32,24.39,2.45,0.62,33515,1,41,8.21,정상,0,0
GATE-01,PARKING-01,2026-01-05 02:00:00,33.47,3.94,24.04,2.58,0.53,33524,1,41,6.23,정상,0,0
GATE-01,PARKING-01,2026-01-05 03:00:00,32.47,2.98,24.19,2.3,0.75,33525,0,41,1.05,정상,0,0
GATE-01,PARKING-01,2026-01-05 04:00:00,33.49,2.97,24.1,2.38,0.67,33528,0,41,3.5,정상,0,0
GATE-01,PARKING-01,2026-01-05 05:00:00,35.07,2.99,24.12,2.66,0.47,33538,0,41,0,정상,0,0
GATE-01,PARKING-01,2026-01-05 06:00:00,35.52,3.45,23.9,2.33,0.65,33555,0,41,0.09,정상,0,0
GATE-01,PARKING-01,2026-01-05 07:00:00,38.11,3.57,24.3,2.41,0.61,33584,0,41,0,정상,0,0
GATE-01,PARKING-01,2026-01-05 08:00:00,37.6,4.29,24.1,2.25,0.57,33619,0,41,0.92,정상,0,0
GATE-01,PARKING-01,2026-01-05 09:00:00,39.27,3.51,23.75,2.17,0.61,33663,1,41,7.09,정상,0,0
GATE-01,PARKING-01,2026-01-05 10:00:00,35.94,3.32,24.26,2.34,0.54,33686,0,41,2.84,정상,0,0
GATE-01,PARKING-01,2026-01-05 11:00:00,36.63,3.66,23.82,2.28,0.44,33709,1,41,1.83,정상,0,0
GATE-01,PARKING-01,2026-01-05 12:00:00,36.29,4.29,23.97,2.35,0.24,33727,1,41,8.9,정상,0,0
GATE-01,PARKING-01,2026-01-05 13:00:00,30.17,2.83,23.95,2.19,0.27,33734,1,41,4.81,정상,0,0
GATE-01,PARKING-01,2026-01-05 14:00:00,36.83,4.24,24.68,2.47,0.84,33758,0,41,0,정상,0,0
GATE-01,PARKING-01,2026-01-05 15:00:00,37.16,4.45,24.19,2.47,0.82,33790,0,41,1.39,정상,0,0
GATE-01,PARKING-01,2026-01-05 16:00:00,38.58,3.47,24.02,2.3,0.72,33823,0,41,0,정상,0,0
GATE-01,PARKING-01,2026-01-05 17:00:00,39.6,3.07,24.01,2.44,1.16,33869,0,41,0,정상,0,0
GATE-01,PARKING-01,2026-01-05 18:00:00,41.1,4.27,24.1,2.55,0.6,33922,0,41,0.83,정상,0,0
GATE-01,PARKING-01,2026-01-05 19:00:00,40.56,4.32,24.22,2.17,0.79,33973,0,41,0,정상,0,0
GATE-01,PARKING-01,2026-01-05 20:00:00,40.94,4.24,24.09,2.75,1.01,34024,0,41,3.27,정상,0,0
GATE-01,PARKING-01,2026-01-05 21:00:00,35.84,3.15,24.52,2.29,0.69,34034,0,41,2.47,정상,0,0
GATE-01,PARKING-01,2026-01-05 22:00:00,39.37,3.81,23.85,2.68,0.41,34058,0,41,0,정상,0,0
GATE-01,PARKING-01,2026-01-05 23:00:00,37.64,3.55,24.31,2.05,0.59,34085,0,41,4.86,정상,0,0
GATE-01,PARKING-01,2026-01-06 00:00:00,35.58,3.68,23.94,2.33,0.67,34092,0,42,1.64,정상,0,0
GATE-01,PARKING-01,2026-01-06 01:00:00,34.41,3.04,23.81,2.25,0.64,34095,0,42,4.71,정상,0,0
GATE-01,PARKING-01,2026-01-06 02:00:00,32.64,3.57,24.04,2.3,0.28,34095,0,42,1.52,정상,0,0
GATE-01,PARKING-01,2026-01-06 03:00:00,33.73,3.05,24.11,2.28,0.7,34097,1,42,4.87,정상,0,0
GATE-01,PARKING-01,2026-01-06 04:00:00,36.34,3.5,24.24,2.57,0.54,34102,0,42,3.75,정상,0,0
GATE-01,PARKING-01,2026-01-06 05:00:00,34.04,2.78,24.06,2.18,0.54,34109,0,42,1.04,정상,0,0
GATE-01,PARKING-01,2026-01-06 06:00:00,38.04,3.37,23.83,2.32,0.88,34131,1,42,6.59,정상,0,0
GATE-01,PARKING-01,2026-01-06 07:00:00,37.67,3.86,24.02,2.18,0.49,34160,1,42,6.81,정상,0,0
GATE-01,PARKING-01,2026-01-06 08:00:00,41.62,4.41,24.15,2.37,0.65,34200,0,42,0.33,정상,0,0
GATE-01,PARKING-01,2026-01-06 09:00:00,39.69,3.9,23.96,2.44,0.89,34254,0,42,0,정상,0,0
GATE-01,PARKING-01,2026-01-06 10:00:00,37.16,3.69,24.13,2.59,0.84,34284,0,42,0.55,정상,0,0
GATE-01,PARKING-01,2026-01-06 11:00:00,35.91,3.72,23.66,2.31,0.71,34306,0,42,5.46,정상,0,0
GATE-01,PARKING-01,2026-01-06 12:00:00,35.5,3.73,24.03,2.4,0.62,34327,0,42,0,정상,0,0
GATE-01,PARKING-01,2026-01-06 13:00:00,37.01,3.71,24.05,2.6,0.85,34346,0,42,0,정상,0,0
GATE-01,PARKING-01,2026-01-06 14:00:00,37.06,3.62,23.82,2.53,1,34366,0,42,0,정상,0,0
GATE-01,PARKING-01,2026-01-06 15:00:00,38.08,4.17,23.94,2.24,0.61,34386,0,42,0.48,정상,0,0
GATE-01,PARKING-01,2026-01-06 16:00:00,32.7,3.63,24.1,2.32,0.91,34393,0,42,4.44,정상,0,0
GATE-01,PARKING-01,2026-01-06 17:00:00,39.17,3.71,23.87,2.42,0.47,34436,0,42,0.29,정상,0,0
GATE-01,PARKING-01,2026-01-06 18:00:00,39.91,3.47,24.11,2.44,0.35,34474,0,42,0,정상,0,0
GATE-01,PARKING-01,2026-01-06 19:00:00,38.72,3.52,24.13,2.35,0.81,34512,0,42,0,정상,0,0
GATE-01,PARKING-01,2026-01-06 20:00:00,36.64,4.26,24.33,2.43,0.65,34553,0,42,3.38,정상,0,0
GATE-01,PARKING-01,2026-01-06 21:00:00,37.39,3.68,24.36,2.26,0.69,34576,0,42,1.86,정상,0,0
GATE-01,PARKING-01,2026-01-06 22:00:00,35.36,3.68,23.64,2.29,1.22,34596,0,42,1.57,정상,0,0
GATE-01,PARKING-01,2026-01-06 23:00:00,37.12,3.9,24.15,2.17,0.86,34614,1,42,9.19,정상,0,0
GATE-01,PARKING-01,2026-01-07 00:00:00,36.91,3.03,23.96,2.34,0.82,34614,0,43,0,정상,0,0
GATE-01,PARKING-01,2026-01-07 01:00:00,33.46,2.84,24.4,2.09,1.02,34614,1,43,8.3,정상,0,0
GATE-01,PARKING-01,2026-01-07 02:00:00,36.21,3.66,24.11,2.14,0.76,34617,0,43,0,정상,0,0
GATE-01,PARKING-01,2026-01-07 03:00:00,32.3,3.48,24.26,2.55,0.82,34617,0,43,0,정상,0,0
GATE-01,PARKING-01,2026-01-07 04:00:00,38.46,3.8,24.15,2.51,0.7,34630,0,43,0.44,정상,0,0
GATE-01,PARKING-01,2026-01-07 05:00:00,34.68,2.93,24.16,2.71,0.94,34635,0,43,1.23,정상,0,0
GATE-01,PARKING-01,2026-01-07 06:00:00,37.27,4.1,24.22,2.44,0.68,34654,0,43,2.73,정상,0,0
GATE-01,PARKING-01,2026-01-07 07:00:00,41.13,4.58,24.26,2.18,0.62,34701,0,43,1.9,정상,0,0
GATE-01,PARKING-01,2026-01-07 08:00:00,37.66,3.64,24.09,2.51,0.69,34736,0,43,0.04,정상,0,0
GATE-01,PARKING-01,2026-01-07 09:00:00,38.99,3.84,24.01,2.33,1.24,34780,0,43,0.77,정상,0,0
GATE-01,PARKING-01,2026-01-07 10:00:00,38.12,3.84,23.81,2.54,0.78,34809,0,43,1.12,정상,0,0
GATE-01,PARKING-01,2026-01-07 11:00:00,37.31,3.2,24.12,2.4,0.87,34830,0,43,0,정상,0,0
GATE-01,PARKING-01,2026-01-07 12:00:00,35.77,3.82,23.79,2.5,0.85,34850,0,43,0.55,정상,0,0
GATE-01,PARKING-01,2026-01-07 13:00:00,36.37,3.25,24.06,2.36,0.73,34861,0,43,0,정상,0,0
GATE-01,PARKING-01,2026-01-07 14:00:00,36.12,3.74,24.38,2.32,0.73,34891,0,43,1.86,정상,0,0
GATE-01,PARKING-01,2026-01-07 15:00:00,38.61,4.16,24.24,2.44,0.61,34918,2,43,9.37,정상,0,0
GATE-01,PARKING-01,2026-01-07 16:00:00,35.95,3.51,24.22,2.36,0.89,34932,1,43,8.94,정상,0,0
GATE-01,PARKING-01,2026-01-07 17:00:00,37.96,4.23,24.25,2.08,1.33,34968,0,43,3.56,정상,0,0
GATE-01,PARKING-01,2026-01-07 18:00:00,36.13,3.63,24.09,2.69,1.06,34991,1,43,4.7,정상,0,0
GATE-01,PARKING-01,2026-01-07 19:00:00,38.51,4.92,23.86,2.52,0.91,35038,0,43,4.03,정상,0,0
GATE-01,PARKING-01,2026-01-07 20:00:00,40.88,4.13,24.19,2.11,0.72,35106,1,43,6.23,정상,0,0
GATE-01,PARKING-01,2026-01-07 21:00:00,36.03,3.46,23.88,2.79,0.83,35125,0,43,0,정상,0,0
GATE-01,PARKING-01,2026-01-07 22:00:00,34.09,3.43,23.96,2.63,0.81,35141,1,43,8.55,정상,0,0
GATE-01,PARKING-01,2026-01-07 23:00:00,35.85,3.71,24.29,2.57,0.36,35163,0,43,5.21,정상,0,0
GATE-01,PARKING-01,2026-01-08 00:00:00,35.08,3.83,24.36,2.18,0.44,35163,1,44,6.09,정상,0,0
GATE-01,PARKING-01,2026-01-08 01:00:00,33.72,3.76,24.31,2.16,0.91,35175,0,44,2.82,정상,0,0
GATE-01,PARKING-01,2026-01-08 02:00:00,34.78,3.17,24.21,2.39,0.79,35175,0,44,0,정상,0,0
GATE-01,PARKING-01,2026-01-08 03:00:00,33.64,3.44,23.73,2.39,0.66,35177,0,44,3.49,정상,0,0
GATE-01,PARKING-01,2026-01-08 04:00:00,32.41,3.45,23.91,2.84,0.81,35177,0,44,2.41,정상,0,0
GATE-01,PARKING-01,2026-01-08 05:00:00,35.61,3,24.16,2.32,0.77,35183,1,44,4.58,정상,0,0
GATE-01,PARKING-01,2026-01-08 06:00:00,38.63,3.82,24.09,2.34,0.89,35209,0,44,2.2,정상,0,0
GATE-01,PARKING-01,2026-01-08 07:00:00,39.14,4.23,23.48,2.67,0.58,35256,0,44,2.67,정상,0,0
GATE-01,PARKING-01,2026-01-08 08:00:00,43.41,4.09,24.42,2.19,0.83,35296,1,44,8.4,정상,0,0
GATE-01,PARKING-01,2026-01-08 09:00:00,41.55,4.44,24.09,2.66,0.54,35335,0,44,0,정상,0,0
GATE-01,PARKING-01,2026-01-08 10:00:00,36.12,3.66,24.31,2.48,1.18,35360,0,44,1.37,정상,0,0
GATE-01,PARKING-01,2026-01-08 11:00:00,36.1,3.79,24.13,2.42,0.77,35375,0,44,0,정상,0,0
GATE-01,PARKING-01,2026-01-08 12:00:00,36.27,3.72,23.86,2.65,0.87,35409,0,44,3.58,정상,0,0
GATE-01,PARKING-01,2026-01-08 13:00:00,38.52,3.53,24.08,2.28,0.85,35428,0,44,3.08,정상,0,0
GATE-01,PARKING-01,2026-01-08 14:00:00,38.42,3.69,23.99,2.64,0.7,35448,0,44,1.89,정상,0,0
GATE-01,PARKING-01,2026-01-08 15:00:00,36.77,3.94,23.93,2.75,0.54,35473,0,44,0.18,정상,0,0
GATE-01,PARKING-01,2026-01-08 16:00:00,36.2,3.57,24.06,2.3,1.06,35497,0,44,0,정상,0,0
GATE-01,PARKING-01,2026-01-08 17:00:00,36.92,3.96,24.13,2.31,0.95,35531,0,44,0.71,정상,0,0
GATE-01,PARKING-01,2026-01-08 18:00:00,43.69,4.53,23.69,2.29,0.91,35592,0,44,3.97,정상,0,0
GATE-01,PARKING-01,2026-01-08 19:00:00,38.83,4.07,24.18,2.46,0.92,35631,0,44,0.06,정상,0,0
GATE-01,PARKING-01,2026-01-08 20:00:00,36.59,3.57,24.22,2.34,0.47,35662,0,44,2.1,정상,0,0
GATE-01,PARKING-01,2026-01-08 21:00:00,36.37,4.03,23.87,2.34,0.8,35696,0,44,0,정상,0,0
GATE-01,PARKING-01,2026-01-08 22:00:00,39.13,3.6,24.04,2.54,0.69,35720,1,44,5.91,정상,0,0
GATE-01,PARKING-01,2026-01-08 23:00:00,39.83,3.31,24.23,2.3,0.78,35743,1,44,7.08,정상,0,0
GATE-01,PARKING-01,2026-01-09 00:00:00,34.99,3.12,23.71,2.35,0.53,35743,0,45,2.33,정상,0,0
GATE-01,PARKING-01,2026-01-09 01:00:00,34.31,2.72,24.12,2.22,0.62,35743,0,45,1.57,정상,0,0
GATE-01,PARKING-01,2026-01-09 02:00:00,37.52,3.39,23.87,2.62,0.74,35743,0,45,0.94,정상,0,0
GATE-01,PARKING-01,2026-01-09 03:00:00,36.6,3.62,23.61,2.65,0.75,35752,0,45,0.9,정상,0,0
GATE-01,PARKING-01,2026-01-09 04:00:00,32.97,3.41,23.86,2.85,0.88,35752,0,45,0,정상,0,0
GATE-01,PARKING-01,2026-01-09 05:00:00,35.39,3.53,24.09,2.22,0.88,35755,0,45,2.12,정상,0,0
GATE-01,PARKING-01,2026-01-09 06:00:00,39.79,4.29,24.17,2.49,0.91,35785,1,45,6.74,정상,0,0
GATE-01,PARKING-01,2026-01-09 07:00:00,41.39,4.08,23.77,2.54,0.97,35828,0,45,0.51,정상,0,0
GATE-01,PARKING-01,2026-01-09 08:00:00,40.73,3.8,24.26,2.5,0.62,35856,0,45,0,정상,0,0
GATE-01,PARKING-01,2026-01-09 09:00:00,38.1,4.09,24.13,2.72,0.62,35888,1,45,5.64,정상,0,0
GATE-01,PARKING-01,2026-01-09 10:00:00,39.15,4.03,24.25,2.56,0.91,35909,1,45,4.6,정상,0,0
GATE-01,PARKING-01,2026-01-09 11:00:00,36.75,3.32,24.57,2.48,0.71,35925,0,45,1.59,정상,0,0
GATE-01,PARKING-01,2026-01-09 12:00:00,36.82,3.25,24.24,2.56,1.04,35948,1,45,7.68,정상,0,0
GATE-01,PARKING-01,2026-01-09 13:00:00,38.13,4.07,24.22,2.39,0.67,35976,1,45,5.73,정상,0,0
GATE-01,PARKING-01,2026-01-09 14:00:00,36.76,4.26,24.36,2.5,0.65,36002,0,45,1.22,정상,0,0
GATE-01,PARKING-01,2026-01-09 15:00:00,38.2,3.23,24.02,2.69,0.94,36022,0,45,0,정상,0,0
GATE-01,PARKING-01,2026-01-09 16:00:00,38.72,3.74,24.21,2.33,0.94,36043,0,45,5.34,정상,0,0
GATE-01,PARKING-01,2026-01-09 17:00:00,37.8,4.23,24.26,2.42,0.33,36062,0,45,2.78,정상,0,0
GATE-01,PARKING-01,2026-01-09 18:00:00,40.6,4.37,24.12,2.29,1.11,36107,0,45,4.51,정상,0,0
GATE-01,PARKING-01,2026-01-09 19:00:00,39.15,4.06,23.82,2.34,0.65,36140,0,45,3.11,정상,0,0
GATE-01,PARKING-01,2026-01-09 20:00:00,38.19,3.79,23.78,2.32,0.78,36174,0,45,1.6,정상,0,0
GATE-01,PARKING-01,2026-01-09 21:00:00,36.6,3.87,23.83,2.55,0.88,36191,0,45,0,정상,0,0
GATE-01,PARKING-01,2026-01-09 22:00:00,36.59,3.53,24.01,2.45,0.91,36218,0,45,1.26,정상,0,0
GATE-01,PARKING-01,2026-01-09 23:00:00,37.68,3.76,23.65,2.6,0.5,36245,0,45,0,정상,0,0
GATE-01,PARKING-01,2026-01-10 00:00:00,35.91,3.53,23.77,2.05,0.47,36258,0,46,0,정상,0,0
